TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
5013;5128;05;A;   4;220101; 6;s;01;   52;s;   33;s;    1;s;    1;s;   51;s;   50;s;    1;s;    0;s;    0;s;    0;s;    1;s;    0;s;    0;s;    0;s;   32;s;   31;s;    1;s;    0;s;    0;s;    0;s;    1;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;02;  102;s;   69;s;    0;s;    0;s;  101;s;   95;s;    6;s;    0;s;    1;s;    0;s;    0;s;    0;s;    0;s;    0;s;   69;s;   67;s;    2;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;03;   74;s;   50;s;    1;s;    0;s;   73;s;   71;s;    2;s;    0;s;    0;s;    0;s;    0;s;    1;s;    1;s;    0;s;   50;s;   50;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;04;   54;s;   33;s;    0;s;    0;s;   54;s;   52;s;    2;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;   33;s;   32;s;    1;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;05;   35;s;   27;s;    0;s;    0;s;   35;s;   33;s;    2;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;   27;s;   27;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;06;   29;s;   21;s;    0;s;    0;s;   29;s;   24;s;    5;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;   21;s;   18;s;    3;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;07;   22;s;   22;s;    0;s;    1;s;   22;s;   21;s;    1;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;   21;s;   20;s;    1;s;    0;s;    0;s;    0;s;    0;s;    1;s;    1;s;    0;s
5013;5128;05;A;   4;220101; 6;s;08;   30;s;   19;s;    0;s;    0;s;   30;s;   28;s;    2;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;   19;s;   17;s;    2;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;09;   33;s;   30;s;    0;s;    0;s;   33;s;   31;s;    2;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;   30;s;   27;s;    3;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;10;   61;s;   57;s;    1;s;    0;s;   60;s;   56;s;    4;s;    0;s;    0;s;    0;s;    1;s;    0;s;    0;s;    0;s;   57;s;   52;s;    5;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;11;  105;s;  102;s;    1;s;    1;s;  102;s;   95;s;    7;s;    0;s;    2;s;    0;s;    1;s;    0;s;    0;s;    0;s;  100;s;   94;s;    6;s;    0;s;    1;s;    0;s;    1;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;12;  196;s;  178;s;    1;s;    1;s;  193;s;  185;s;    8;s;    0;s;    2;s;    0;s;    1;s;    0;s;    0;s;    0;s;  174;s;  169;s;    5;s;    0;s;    3;s;    0;s;    1;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;13;  288;s;  269;s;    3;s;    1;s;  283;s;  264;s;   19;s;    0;s;    2;s;    0;s;    2;s;    1;s;    1;s;    0;s;  267;s;  255;s;   12;s;    0;s;    1;s;    0;s;    1;s;    0;s;    0;s;    0;s
5013;5128;05;A;   4;220101; 6;s;14;  354;s;  325;s;    2;s;    1;s;  348;s;  328;s;   20;s;    0;s;    4;s;    0;s;    2;s;    0;s;    0;s;    0;s;  320;s;  304;s;   16;s;    0;s;    4;s;    0;s;    1;s;    0;s;    0;s;    0;s
