TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4408;5116;05;A;  42;220101; 6;s;01;  294;s;  242;s;    5;s;    4;s;  289;s;  278;s;   10;s;    1;s;    0;s;    1;s;    1;s;    3;s;    1;s;    0;s;  236;s;  226;s;    9;s;    1;s;    1;s;    0;s;    2;s;    2;s;    2;s;    1;s
4408;5116;05;A;  42;220101; 6;s;02;  689;s;  562;s;    5;s;    2;s;  684;s;  645;s;   39;s;    0;s;    0;s;    0;s;    2;s;    3;s;    2;s;    0;s;  555;s;  535;s;   20;s;    0;s;    5;s;    0;s;    1;s;    1;s;    1;s;    0;s
4408;5116;05;A;  42;220101; 6;s;03;  610;s;  532;s;    3;s;    3;s;  607;s;  585;s;   22;s;    0;s;    0;s;    0;s;    1;s;    2;s;    2;s;    0;s;  522;s;  488;s;   34;s;    0;s;    4;s;    0;s;    1;s;    2;s;    2;s;    3;s
4408;5116;05;A;  42;220101; 6;s;04;  468;s;  363;s;    4;s;    2;s;  464;s;  443;s;   21;s;    0;s;    0;s;    0;s;    3;s;    1;s;    1;s;    0;s;  361;s;  329;s;   32;s;    0;s;    0;s;    0;s;    0;s;    2;s;    2;s;    0;s
4408;5116;05;A;  42;220101; 6;s;05;  266;s;  275;s;    2;s;    3;s;  264;s;  252;s;   12;s;    0;s;    0;s;    0;s;    1;s;    1;s;    1;s;    0;s;  269;s;  257;s;   12;s;    0;s;    0;s;    0;s;    2;s;    1;s;    1;s;    3;s
4408;5116;05;A;  42;220101; 6;s;06;  226;s;  248;s;    1;s;    3;s;  224;s;  215;s;    9;s;    0;s;    0;s;    0;s;    1;s;    0;s;    0;s;    1;s;  243;s;  228;s;   15;s;    0;s;    0;s;    0;s;    2;s;    1;s;    1;s;    2;s
4408;5116;05;A;  42;220101; 6;s;07;  215;s;  194;s;    4;s;    3;s;  209;s;  200;s;    9;s;    0;s;    2;s;    0;s;    3;s;    1;s;    1;s;    0;s;  190;s;  176;s;   14;s;    0;s;    0;s;    0;s;    1;s;    2;s;    2;s;    1;s
4408;5116;05;A;  42;220101; 6;s;08;  159;s;  140;s;    0;s;    5;s;  157;s;  142;s;   15;s;    0;s;    1;s;    0;s;    0;s;    0;s;    0;s;    1;s;  133;s;  121;s;   12;s;    0;s;    2;s;    0;s;    2;s;    3;s;    3;s;    0;s
4408;5116;05;A;  42;220101; 6;s;09;  185;s;  155;s;    4;s;    3;s;  177;s;  162;s;   15;s;    0;s;    4;s;    0;s;    1;s;    3;s;    2;s;    0;s;  151;s;  138;s;   13;s;    0;s;    1;s;    0;s;    1;s;    2;s;    1;s;    0;s
4408;5116;05;A;  42;220101; 6;s;10;  241;s;  229;s;    6;s;    3;s;  230;s;  214;s;   16;s;    0;s;    3;s;    0;s;    2;s;    4;s;    3;s;    2;s;  221;s;  206;s;   14;s;    1;s;    4;s;    0;s;    1;s;    2;s;    2;s;    1;s
