TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4508;5113;05;A;  40;220101; 6;s;01;  493;-;  466;-;    3;-;    1;-;  490;-;  468;-;   22;-;    0;-;    0;-;    0;-;    0;-;    3;-;    3;-;    0;-;  465;-;  448;-;   16;-;    1;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
4508;5113;05;A;  40;220101; 6;s;02; 1026;-;  987;-;    3;-;    2;-; 1023;-; 1002;-;   20;-;    1;-;    0;-;    2;-;    0;-;    1;-;    1;-;    0;-;  984;-;  956;-;   26;-;    2;-;    1;-;    1;-;    1;-;    0;-;    0;-;    0;-
4508;5113;05;A;  40;220101; 6;s;03;  872;-;  877;-;    1;-;    3;-;  870;-;  849;-;   20;-;    1;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-;  872;-;  845;-;   26;-;    1;-;    1;-;    1;-;    0;-;    2;-;    2;-;    1;-
4508;5113;05;A;  40;220101; 6;s;04;  639;-;  583;-;    2;-;    1;-;  637;-;  615;-;   21;-;    1;-;    0;-;    1;-;    0;-;    1;-;    1;-;    0;-;  582;-;  563;-;   19;-;    0;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-
4508;5113;05;A;  40;220101; 6;s;05;  364;-;  462;-;    2;-;    5;-;  362;-;  348;-;   14;-;    0;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;  456;-;  442;-;   13;-;    1;-;    1;-;    4;-;    1;-;    0;-;    0;-;    0;-
4508;5113;05;A;  40;220101; 6;s;06;  354;-;  390;-;    0;-;    4;-;  354;-;  344;-;   10;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;  386;-;  376;-;   10;-;    0;-;    0;-;    3;-;    0;-;    1;-;    1;-;    0;-
4508;5113;05;A;  40;220101; 6;s;07;  312;-;  315;-;    2;-;    4;-;  310;-;  299;-;   10;-;    1;-;    0;-;    2;-;    0;-;    0;-;    0;-;    0;-;  311;-;  304;-;    7;-;    0;-;    0;-;    2;-;    0;-;    2;-;    1;-;    0;-
4508;5113;05;A;  40;220101; 6;s;08;  234;-;  206;-;    1;-;    4;-;  230;-;  216;-;   14;-;    0;-;    2;-;    1;-;    0;-;    0;-;    0;-;    1;-;  202;-;  192;-;   10;-;    0;-;    0;-;    3;-;    1;-;    0;-;    0;-;    0;-
4508;5113;05;A;  40;220101; 6;s;09;  277;-;  268;-;    2;-;    2;-;  275;-;  259;-;   16;-;    0;-;    0;-;    0;-;    0;-;    2;-;    2;-;    0;-;  265;-;  254;-;   10;-;    1;-;    1;-;    2;-;    0;-;    0;-;    0;-;    0;-
4508;5113;05;A;  40;220101; 6;s;10;  392;-;  372;-;    5;-;    4;-;  387;-;  371;-;   16;-;    0;-;    0;-;    1;-;    0;-;    4;-;    4;-;    0;-;  368;-;  350;-;   17;-;    1;-;    0;-;    3;-;    0;-;    1;-;    1;-;    0;-
4508;5113;05;A;  40;220101; 6;s;11;  692;-;  596;-;    6;-;    3;-;  685;-;  637;-;   46;-;    2;-;    1;-;    2;-;    2;-;    2;-;    2;-;    0;-;  592;-;  564;-;   26;-;    2;-;    1;-;    1;-;    0;-;    2;-;    2;-;    0;-
4508;5113;05;A;  40;220101; 6;s;12; 1212;-; 1077;-;    7;-;    5;-; 1203;-; 1132;-;   65;-;    6;-;    2;-;    2;-;    2;-;    3;-;    3;-;    0;-; 1070;-; 1014;-;   49;-;    7;-;    1;-;    2;-;    1;-;    2;-;    2;-;    1;-
4508;5113;05;A;  40;220101; 6;s;13; 1714;-; 1613;-;    1;-;    4;-; 1711;-; 1647;-;   54;-;   10;-;    2;-;    0;-;    1;-;    0;-;    0;-;    0;-; 1606;-; 1538;-;   58;-;   10;-;    2;-;    2;-;    2;-;    0;-;    0;-;    1;-
4508;5113;05;A;  40;220101; 6;s;14; 2017;-; 2049;-;    4;-;    2;-; 2010;-; 1907;-;   86;-;   17;-;    3;-;    1;-;    0;-;    3;-;    3;-;    0;-; 2042;-; 1964;-;   62;-;   16;-;    4;-;    0;-;    1;-;    1;-;    1;-;    1;-
